学籍番号,名前,ふりがな,性別,IDm,履修教科1,履修教科2,履修教科3,履修教科4,履修教科5,履修教科6,履修教科7,履修教科8,履修教科9,履修教科10,履修教科11,履修教科12,履修教科13,履修教科14,履修教科15,履修教科16,履修教科17,履修教科18,履修教科19,履修教科20,履修教科21,履修教科22
S061,東矢千裕,とうやちひろ,男,012E44A7A512963F,F1,F2,F3,F4_1,,,M2,M3,M4,T2,,T3_2,T4,T5,Th2,Th34,,W12,W3_1,W4,,W5_2
S062,東山勇人,とうやまゆうと,男,012E44A7A5158A31,F1,F2,F3,,F4_2,,M2,M3,M4,T2,,T3_2,T4,,Th2,Th34,,W12,,W4,W5_1,
S063,得永希予,とくながきよ,女,012E44A7A5113FB6,F1,F2,F3,,F4_2,,M2,M3,M4,T2,,T3_2,T4,,Th2,Th34,,W12,,W4,,W5_2
S064,徳益榮,とくますさかえ,男,012E44A7A5154E78,F1,F2,F3,,,,M2,M3,M4,T2,T3_1,,T4,T5,Th2,Th34,Th5_1,W12,W3_1,W4,W5_1,
S065,戸津崎礼央奈,とつざきれおな,女,012E44A7A515A494,F1,F2,F3,,,M1,M2,M3,M4,T2,T3_1,,T4,,Th2,Th34,Th5_1,W12,W3_1,W4,W5_1,
S066,友藤竜治,ともふじりゅうじ,男,012E44A7A5188758,F1,F2,F3,F4_1,,M1,M2,M3,M4,T2,,T3_2,T4,T5,Th2,Th34,,W12,,W4,W5_1,
S067,豊長夢香,とよながゆか,女,012E44A7A518528F,F1,F2,F3,F4_1,,,M2,M3,M4,T2,,T3_2,T4,,Th2,Th34,,W12,,W4,,W5_2
S068,堂脇一志,どうわきひとし,男,012E44A7A5185054,F1,F2,F3,,,,M2,M3,M4,T2,T3_1,,T4,,Th2,Th34,Th5_1,W12,W3_1,W4,W5_1,
S069,中妻潔志,なかつまきよし,男,012E44A7A5188329,F1,F2,F3,,,M1,M2,M3,M4,T2,,T3_2,T4,,Th2,Th34,,W12,,W4,W5_1,
S070,中松光一,なかまつこういち,男,012E44A7A515305C,F1,F2,F3,,,M1,M2,M3,M4,T2,,T3_2,T4,T5,Th2,Th34,,W12,,W4,,W5_2
S071,西垣内利秀,にしごうちとしひで,男,012E44A7A5129B45,F1,F2,F3,,F4_2,,M2,M3,M4,T2,,T3_2,T4,T5,Th2,Th34,,W12,,W4,,W5_2
S072,西関真寿,にしぜきまさとし,男,012E44A7A5158998,F1,F2,F3,,,,M2,M3,M4,T2,T3_1,,T4,,Th2,Th34,Th5_1,W12,,W4,,W5_2
S073,登祐平,のぼるゆうへい,男,012E44A7A511AC3F,F1,F2,F3,,F4_2,,M2,M3,M4,T2,,T3_2,T4,,Th2,Th34,,W12,W3_1,W4,,W5_2
S074,野焼城司,のやきじょうじ,男,012E44A7A515729B,F1,F2,F3,F4_1,,,M2,M3,M4,T2,T3_1,,T4,,Th2,Th34,Th5_1,W12,W3_1,W4,,W5_2
S075,萩間敦大,はぎまあつひろ,男,012E44A7A5158231,F1,F2,F3,,,,M2,M3,M4,T2,,T3_2,T4,,Th2,Th34,,W12,,W4,W5_1,
S076,波佐間敬次,はざまけいじ,男,012E44A7A5157E58,F1,F2,F3,F4_1,,M1,M2,M3,M4,T2,T3_1,,T4,,Th2,Th34,Th5_1,W12,,W4,W5_1,
S077,蓮池夕加里,はすいけゆかり,女,012E44A7A5159335,F1,F2,F3,F4_1,,M1,M2,M3,M4,T2,T3_1,,T4,,Th2,Th34,Th5_1,W12,,W4,W5_1,
S078,初山孝徳,はつやまたかのり,男,012E44A7A5159E8F,F1,F2,F3,,F4_2,,M2,M3,M4,T2,,T3_2,T4,T5,Th2,Th34,,W12,,W4,,W5_2
S079,波頭直司,はとうなおし,男,012E44A7A518269E,F1,F2,F3,,F4_2,,M2,M3,M4,T2,T3_1,,T4,,Th2,Th34,Th5_1,W12,W3_1,W4,,W5_2
S080,花本圭祐,はなもとけいすけ,男,012E44A7A5184C7F,F1,F2,F3,,F4_2,,M2,M3,M4,T2,,T3_2,T4,T5,Th2,Th34,,W12,,W4,,W5_2
S081,菱泰章,ひしやすあき,男,012E44A7A5185260,F1,F2,F3,,F4_2,,M2,M3,M4,T2,T3_1,,T4,,Th2,Th34,Th5_1,W12,W3_1,W4,W5_1,
S082,日髙貴幸,ひだかたかゆき,男,012E44A7A518C560,F1,F2,F3,,,,M2,M3,M4,T2,,T3_2,T4,T5,Th2,Th34,,W12,,W4,W5_1,
S083,樋爪顕治,ひづめけんじ,男,012E44A7A5182058,F1,F2,F3,,,M1,M2,M3,M4,T2,T3_1,,T4,T5,Th2,Th34,Th5_1,W12,,W4,,W5_2
S084,平野仰,ひらのあおぐ,男,012E44A7A51853A1,F1,F2,F3,,,,M2,M3,M4,T2,,T3_2,T4,,Th2,Th34,,W12,,W4,W5_1,
S085,広文哉,ひろふみや,男,012E44A7A51875B5,F1,F2,F3,,F4_2,,M2,M3,M4,T2,,T3_2,T4,T5,Th2,Th34,,W12,W3_1,W4,,W5_2
S086,深野木茂則,ふかのきしげのり,男,012E44A7A518AB94,F1,F2,F3,,,M1,M2,M3,M4,T2,T3_1,,T4,,Th2,Th34,Th5_1,W12,,W4,,W5_2
S087,村濱準二,むらはまじゅんじ,男,012E44A7A518296D,F1,F2,F3,,F4_2,,M2,M3,M4,T2,,T3_2,T4,T5,Th2,Th34,,W12,,W4,,W5_2
S088,矢形具美,やかたともみ,女,012E44A7A51869B3,F1,F2,F3,,F4_2,,M2,M3,M4,T2,,T3_2,T4,,Th2,Th34,,W12,,W4,W5_1,
S089,八下田駿佑,やげたしゅんすけ,男,012E44A7A51832AB,F1,F2,F3,,,M1,M2,M3,M4,T2,,T3_2,T4,,Th2,Th34,Th5_1,W12,W3_1,W4,W5_1,
S090,八武崎榛菜,やぶさきはるな,女,012E44A7A518A145,F1,F2,F3,F4_1,,M1,M2,M3,M4,T2,T3_1,,T4,,Th2,Th34,Th5_1,W12,,W4,,W5_2
S091,山畑照樹,やまばたてるき,男,012E44A7A5128D80,F1,F2,F3,F4_1,,,M2,M3,M4,T2,T3_1,,T4,,Th2,Th34,Th5_1,W12,,W4,,W5_2
S092,行田博彦,ゆきたひろひこ,男,012E44A7A51586AF,F1,F2,F3,,F4_2,,M2,M3,M4,T2,,T3_2,T4,,Th2,Th34,,W12,,W4,W5_1,
S093,柞木道典,ゆすのきみちのり,男,012E44A7A5157F5B,F1,F2,F3,,,,M2,M3,M4,T2,,T3_2,T4,T5,Th2,Th34,Th5_1,W12,,W4,,W5_2
S094,弓座義政,ゆみざよしまさ,男,012E44A7A515207D,F1,F2,F3,,F4_2,,M2,M3,M4,T2,T3_1,,T4,T5,Th2,Th34,Th5_1,W12,,W4,,W5_2
S095,吉中龍之介,よしなかりゅうのすけ,男,012E44A7A5151E70,F1,F2,F3,,F4_2,,M2,M3,M4,T2,,T3_2,T4,T5,Th2,Th34,,W12,,W4,W5_1,
S096,吉馴典和,よしなれのりかず,男,012E44A7A518A8B0,F1,F2,F3,F4_1,,,M2,M3,M4,T2,T3_1,,T4,T5,Th2,Th34,Th5_1,W12,,W4,W5_1,
S097,吉広清悟,よしひろせいご,男,012E44A7A5125552,F1,F2,F3,,F4_2,,M2,M3,M4,T2,T3_1,,T4,,Th2,Th34,Th5_1,W12,,W4,,W5_2
S098,吉光幸太,よしみつこうた,男,012E44A7A518BB99,F1,F2,F3,,F4_2,,M2,M3,M4,T2,,T3_2,T4,,Th2,Th34,,W12,W3_1,W4,,W5_2
S099,与那豊茂,よなとよしげ,男,012E44A7A5188331,F1,F2,F3,F4_1,,,M2,M3,M4,T2,T3_1,,T4,,Th2,Th34,Th5_1,W12,W3_1,W4,W5_1,
S100,渡利雄祐,わたりゆうすけ,男,012E44A7A5112853,F1,F2,F3,,F4_2,,M2,M3,M4,T2,T3_1,,T4,T5,Th2,Th34,Th5_1,W12,,W4,,W5_2
